family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
ba	p1_33_p2_34_p3_33	top20	6	256.17	164.33	142.83	142.83	91.83	21.50	0.00	3.88	4.67	0.20
ba	p1_33_p2_34_p3_33	top05	6	256.17	31.50	31.50	31.50	224.67	0.00	0.00	51.25	72.00	0.28
ba	p1_33_p2_34_p3_33	low20	6	256.17	231.50	214.17	214.17	24.67	17.33	0.00	3.88	4.67	0.09
ba	p1_33_p2_34_p3_33	low05	6	256.17	111.00	111.00	111.00	145.17	0.00	0.00	51.25	72.00	0.18
ba	p1_33_p2_34_p3_33	randtop20	6	256.17	207.17	194.83	194.83	49.00	12.33	0.00	3.88	4.67	0.11
ba	p1_33_p2_34_p3_33	randtop05	6	256.17	39.50	39.50	39.50	216.67	0.00	0.00	51.25	72.00	0.27
ba	p2_50_p3_50	spread	6	256.17	255.83	255.67	255.50	0.33	0.17	0.17	1.23	1.33	0.02
ba	p2_50_p3_50	random	6	256.17	255.83	255.33	255.33	0.33	0.50	0.00	1.58	5.17	0.02
ba	p2_50_p3_50	top20	6	256.17	255.83	164.50	141.83	0.33	91.33	22.67	4.85	5.50	0.20
er	p1_33_p2_34_p3_33	randtop20	6	91.50	91.00	91.00	91.00	0.50	0.00	0.00	1.51	2.17	0.02
er	p1_33_p2_34_p3_33	randtop05	6	91.50	72.83	49.67	49.33	18.67	23.17	0.33	4.20	4.83	0.09
er	p2_50_p3_50	spread	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.00	1.00	0.02
er	p2_50_p3_50	random	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.13	2.83	0.02
er	p2_50_p3_50	top20	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.71	2.50	0.02
er	p2_50_p3_50	top05	6	91.50	91.33	50.17	46.33	0.17	41.17	3.83	5.28	6.00	0.10
er	p2_50_p3_50	low20	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.71	2.50	0.02
er	p2_50_p3_50	low05	6	91.50	91.33	48.00	48.00	0.17	43.33	0.00	5.28	6.00	0.09
er	p2_50_p3_50	randtop20	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.71	2.50	0.02
er	p2_50_p3_50	randtop05	6	91.50	91.33	50.17	48.33	0.17	41.17	1.83	5.28	6.00	0.09
er	p1_100	spread	6	91.50	91.17	91.17	91.17	0.33	0.00	0.00	1.00	1.00	0.02
er	p1_100	random	6	91.50	90.50	90.50	90.50	1.00	0.00	0.00	1.05	2.00	0.02
er	p1_100	top20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.00	1.00	0.02
er	p1_100	top05	6	91.50	90.17	90.17	90.17	1.33	0.00	0.00	2.12	2.67	0.02
er	p1_100	low20	6	91.50	91.17	91.17	91.17	0.33	0.00	0.00	1.00	1.00	0.02
er	p1_100	low05	6	91.50	89.83	89.83	89.83	1.67	0.00	0.00	2.12	2.67	0.02
er	p1_100	randtop20	6	91.50	91.33	91.33	91.33	0.17	0.00	0.00	1.00	1.00	0.02
er	p1_100	randtop05	6	91.50	90.00	90.00	90.00	1.50	0.00	0.00	2.12	2.67	0.02
er	p2_100	spread	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.00	1.00	0.02
er	p2_100	random	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.11	2.67	0.02
er	p2_100	top20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.46	2.00	0.02
er	p2_100	top05	6	91.50	91.50	50.17	50.17	0.00	41.33	0.00	4.23	4.83	0.08
er	p2_100	low20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.46	2.00	0.02
er	p2_100	low05	6	91.50	91.50	49.33	49.33	0.00	42.17	0.00	4.23	4.83	0.09
er	p2_100	randtop20	6	91.50	91.50	91.50	91.50	0.00	0.00	0.00	1.46	2.00	0.02
er	p2_100	randtop05	6	91.50	91.50	50.17	50.17	0.00	41.33	0.00	4.23	4.83	0.08
