family	view	group	n	direct	tia	look1	look2	target
lfr_strong	dr_structure	p4_100	48	117.167	72.667	72.667	72.667	6.456
lfr_strong	dr_structure	p0_20_p1_40_p2_40	48	117.167	74.167	73.896	73.896	7.154
lfr_strong	dr_structure	p1_33_p2_34_p3_33	48	117.167	87.125	82.188	81.833	6.586
lfr_strong	dr_structure	p2_50_p3_50	48	117.167	92.000	77.042	74.375	7.391
lfr_strong	rk_concentration	spread	48	117.167	88.854	88.854	88.854	4.846
lfr_strong	rk_concentration	random	48	117.167	88.583	88.583	88.583	4.900
lfr_strong	rk_concentration	randtop20	48	117.167	88.812	88.750	88.750	4.873
lfr_strong	rk_concentration	randtop05	48	117.167	78.333	65.312	59.875	9.382
lfr_weak	dr_structure	base	6	109.167	106.833	106.833	106.833	2.269
lfr_weak	dr_structure	p0_50_p1_50	48	109.167	54.083	54.083	54.083	7.552
lfr_weak	dr_structure	p1_100	48	109.167	108.271	108.250	108.250	2.160
lfr_weak	dr_structure	p2_100	48	109.167	109.167	86.646	86.646	5.354
lfr_weak	dr_structure	p3_100	48	109.167	109.167	109.167	86.458	5.529
lfr_weak	dr_structure	p4_100	48	109.167	106.167	106.167	106.167	2.302
lfr_weak	dr_structure	p0_20_p1_40_p2_40	48	109.167	75.208	74.875	74.875	6.011
lfr_weak	dr_structure	p1_33_p2_34_p3_33	48	109.167	92.604	86.375	86.083	5.523
lfr_weak	dr_structure	p2_50_p3_50	48	109.167	108.833	86.354	84.979	5.809
lfr_weak	rk_concentration	spread	48	109.167	99.146	99.146	99.146	3.004
lfr_weak	rk_concentration	random	48	109.167	98.708	98.688	98.688	3.098
lfr_weak	rk_concentration	randtop20	48	109.167	99.083	99.083	98.875	3.131
lfr_weak	rk_concentration	randtop05	48	109.167	89.521	72.312	64.375	8.291
